Comuna Origen,Comuna Destino,Abreviatura Origen,Abreviatura Destino
SANTIAGO,SANTIAGO,SCL,SCL
SANTIAGO,CONCEPCION,SCL,CCP
CONCEPCION,SANTIAGO,CCP,SCL
VIÑA DEL MAR,SANTIAGO,KNA,SCL
SANTIAGO,VALDIVIA,SCL,ZAL
SANTIAGO,VIÑA DEL MAR,SCL,KNA
VALDIVIA,SANTIAGO,ZAL,SCL
SANTIAGO,LA SERENA,SCL,LSC
SANTIAGO,PUERTO MONTT,SCL,PMC
CONCEPCION,CONCEPCION,CCP,CCP
LA SERENA,SANTIAGO,LSC,SCL
SANTIAGO,RANCAGUA,SCL,RCG
VIÑA DEL MAR,CONCEPCION,KNA,CCP
RANCAGUA,SANTIAGO,RCG,SCL
CONCEPCION,VALDIVIA,CCP,ZAL
CONCEPCION,VIÑA DEL MAR,CCP,KNA
VALDIVIA,CONCEPCION,ZAL,CCP
PUERTO MONTT,SANTIAGO,PMC,SCL
SANTIAGO,COPIAPO,SCL,CPO
VIÑA DEL MAR,VALDIVIA,KNA,ZAL
VIÑA DEL MAR,VIÑA DEL MAR,KNA,KNA
VIÑA DEL MAR,LA SERENA,KNA,LSC
CONCEPCION,PUERTO MONTT,CCP,PMC
VALDIVIA,VALDIVIA,ZAL,ZAL
SANTIAGO,ANTOFAGASTA,SCL,ANF
COPIAPO,SANTIAGO,CPO,SCL
CONCEPCION,RANCAGUA,CCP,RCG
SANTIAGO,PUNTA ARENAS,SCL,PUQ
SANTIAGO,ARICA,SCL,ARI
SANTIAGO,COYHAIQUE,SCL,GXQ
SANTIAGO,IQUIQUE,SCL,IQQ
