origen,destino,ancho,largo,alto,peso,domicilio,terrestre_a_domicilio,sucursal,terrestre_a_sucursal
SANTIAGO,SANTIAGO,10,10,10,0.5,2990,,2600,
SANTIAGO,SANTIAGO,10,10,10,3.0,3990,,3800,
SANTIAGO,SANTIAGO,10,10,10,6.0,4800,,4300,
SANTIAGO,SANTIAGO,10,10,10,15.0,8400,,7900,
SANTIAGO,CONCEPCION,10,10,10,0.5,3990,,3800,
SANTIAGO,CONCEPCION,10,10,10,3.0,4990,,4800,
SANTIAGO,CONCEPCION,10,10,10,6.0,7300,,6800,
SANTIAGO,CONCEPCION,10,10,10,15.0,16300,,15800,
CONCEPCION,SANTIAGO,10,10,10,0.5,3990,,3800,
CONCEPCION,SANTIAGO,10,10,10,3.0,4990,,4800,
CONCEPCION,SANTIAGO,10,10,10,6.0,7300,,6800,
CONCEPCION,SANTIAGO,10,10,10,15.0,16300,,15800,
VIÑA DEL MAR,SANTIAGO,10,10,10,0.5,3990,,3800,
VIÑA DEL MAR,SANTIAGO,10,10,10,3.0,4990,,4800,
VIÑA DEL MAR,SANTIAGO,10,10,10,6.0,7300,,6800,
VIÑA DEL MAR,SANTIAGO,10,10,10,15.0,16300,,15800,
SANTIAGO,VALDIVIA,10,10,10,0.5,3990,,3800,
SANTIAGO,VALDIVIA,10,10,10,3.0,4990,,4800,
SANTIAGO,VALDIVIA,10,10,10,6.0,7300,,6800,
SANTIAGO,VALDIVIA,10,10,10,15.0,16300,,15800,
SANTIAGO,VIÑA DEL MAR,10,10,10,0.5,3990,,3800,
SANTIAGO,VIÑA DEL MAR,10,10,10,3.0,4990,,4800,
SANTIAGO,VIÑA DEL MAR,10,10,10,6.0,7300,,6800,
SANTIAGO,VIÑA DEL MAR,10,10,10,15.0,16300,,15800,
VALDIVIA,SANTIAGO,10,10,10,0.5,3990,,3800,
VALDIVIA,SANTIAGO,10,10,10,3.0,4990,,4800,
VALDIVIA,SANTIAGO,10,10,10,6.0,7300,,6800,
VALDIVIA,SANTIAGO,10,10,10,15.0,16300,,15800,
SANTIAGO,LA SERENA,10,10,10,0.5,3990,,3800,
SANTIAGO,LA SERENA,10,10,10,3.0,4990,,4800,
SANTIAGO,LA SERENA,10,10,10,6.0,7300,,6800,
SANTIAGO,LA SERENA,10,10,10,15.0,16300,,15800,
SANTIAGO,PUERTO MONTT,10,10,10,0.5,3990,,3800,
SANTIAGO,PUERTO MONTT,10,10,10,3.0,4990,,4800,
SANTIAGO,PUERTO MONTT,10,10,10,6.0,7300,,6800,
SANTIAGO,PUERTO MONTT,10,10,10,15.0,16300,,15800,
CONCEPCION,CONCEPCION,10,10,10,0.5,2990,,2600,
CONCEPCION,CONCEPCION,10,10,10,3.0,3990,,3800,
CONCEPCION,CONCEPCION,10,10,10,6.0,4800,,4300,
CONCEPCION,CONCEPCION,10,10,10,15.0,8400,,7900,
LA SERENA,SANTIAGO,10,10,10,0.5,3990,,3800,
LA SERENA,SANTIAGO,10,10,10,3.0,4990,,4800,
LA SERENA,SANTIAGO,10,10,10,6.0,7300,,6800,
LA SERENA,SANTIAGO,10,10,10,15.0,16300,,15800,
SANTIAGO,RANCAGUA,10,10,10,0.5,3990,,3800,
SANTIAGO,RANCAGUA,10,10,10,3.0,4990,,4800,
SANTIAGO,RANCAGUA,10,10,10,6.0,7300,,6800,
SANTIAGO,RANCAGUA,10,10,10,15.0,16300,,15800,
VIÑA DEL MAR,CONCEPCION,10,10,10,0.5,3990,,3800,
VIÑA DEL MAR,CONCEPCION,10,10,10,3.0,4990,,4800,
VIÑA DEL MAR,CONCEPCION,10,10,10,6.0,7300,,6800,
VIÑA DEL MAR,CONCEPCION,10,10,10,15.0,16300,,15800,
RANCAGUA,SANTIAGO,10,10,10,0.5,3990,,3800,
RANCAGUA,SANTIAGO,10,10,10,3.0,4990,,4800,
RANCAGUA,SANTIAGO,10,10,10,6.0,7300,,6800,
RANCAGUA,SANTIAGO,10,10,10,15.0,16300,,15800,
CONCEPCION,VALDIVIA,10,10,10,0.5,3990,,3800,
CONCEPCION,VALDIVIA,10,10,10,3.0,4990,,4800,
CONCEPCION,VALDIVIA,10,10,10,6.0,7300,,6800,
CONCEPCION,VALDIVIA,10,10,10,15.0,16300,,15800,
CONCEPCION,VIÑA DEL MAR,10,10,10,0.5,3990,,3800,
CONCEPCION,VIÑA DEL MAR,10,10,10,3.0,4990,,4800,
CONCEPCION,VIÑA DEL MAR,10,10,10,6.0,7300,,6800,
CONCEPCION,VIÑA DEL MAR,10,10,10,15.0,16300,,15800,
VALDIVIA,CONCEPCION,10,10,10,0.5,3990,,3800,
VALDIVIA,CONCEPCION,10,10,10,3.0,4990,,4800,
VALDIVIA,CONCEPCION,10,10,10,6.0,7300,,6800,
VALDIVIA,CONCEPCION,10,10,10,15.0,16300,,15800,
PUERTO MONTT,SANTIAGO,10,10,10,0.5,3990,,3800,
PUERTO MONTT,SANTIAGO,10,10,10,3.0,4990,,4800,
PUERTO MONTT,SANTIAGO,10,10,10,6.0,7300,,6800,
PUERTO MONTT,SANTIAGO,10,10,10,15.0,16300,,15800,
SANTIAGO,COPIAPO,10,10,10,0.5,3990,,3800,
SANTIAGO,COPIAPO,10,10,10,3.0,4990,,4800,
SANTIAGO,COPIAPO,10,10,10,6.0,7300,,6800,
SANTIAGO,COPIAPO,10,10,10,15.0,16300,,15800,
VIÑA DEL MAR,VALDIVIA,10,10,10,0.5,3990,,3800,
VIÑA DEL MAR,VALDIVIA,10,10,10,3.0,4990,,4800,
VIÑA DEL MAR,VALDIVIA,10,10,10,6.0,7300,,6800,
VIÑA DEL MAR,VALDIVIA,10,10,10,15.0,16300,,15800,
VIÑA DEL MAR,VIÑA DEL MAR,10,10,10,0.5,2990,,2600,
VIÑA DEL MAR,VIÑA DEL MAR,10,10,10,3.0,3990,,3800,
VIÑA DEL MAR,VIÑA DEL MAR,10,10,10,6.0,4800,,4300,
VIÑA DEL MAR,VIÑA DEL MAR,10,10,10,15.0,8400,,7900,
VIÑA DEL MAR,LA SERENA,10,10,10,0.5,3990,,3800,
VIÑA DEL MAR,LA SERENA,10,10,10,3.0,4990,,4800,
VIÑA DEL MAR,LA SERENA,10,10,10,6.0,7300,,6800,
VIÑA DEL MAR,LA SERENA,10,10,10,15.0,16300,,15800,
CONCEPCION,PUERTO MONTT,10,10,10,0.5,3990,,3800,
CONCEPCION,PUERTO MONTT,10,10,10,3.0,4990,,4800,
CONCEPCION,PUERTO MONTT,10,10,10,6.0,7300,,6800,
CONCEPCION,PUERTO MONTT,10,10,10,15.0,16300,,15800,
VALDIVIA,VALDIVIA,10,10,10,0.5,2990,,2600,
VALDIVIA,VALDIVIA,10,10,10,3.0,3990,,3800,
VALDIVIA,VALDIVIA,10,10,10,6.0,4800,,4300,
VALDIVIA,VALDIVIA,10,10,10,15.0,8400,,7900,
SANTIAGO,ANTOFAGASTA,10,10,10,0.5,12500,5200.0,12000,4700.0
SANTIAGO,ANTOFAGASTA,10,10,10,3.0,19000,9500.0,18500,9000.0
SANTIAGO,ANTOFAGASTA,10,10,10,6.0,28000,14500.0,27000,14000.0
SANTIAGO,ANTOFAGASTA,10,10,10,15.0,55000,,54000,33800.0
COPIAPO,SANTIAGO,10,10,10,0.5,3990,,3800,
COPIAPO,SANTIAGO,10,10,10,3.0,4990,,4800,
COPIAPO,SANTIAGO,10,10,10,6.0,7300,,6800,
COPIAPO,SANTIAGO,10,10,10,15.0,16300,,15800,
CONCEPCION,RANCAGUA,10,10,10,0.5,3990,,3800,
CONCEPCION,RANCAGUA,10,10,10,3.0,4990,,4800,
CONCEPCION,RANCAGUA,10,10,10,6.0,7300,,6800,
CONCEPCION,RANCAGUA,10,10,10,15.0,16300,,15800,
SANTIAGO,PUNTA ARENAS,10,10,10,0.5,12500,5200.0,12000,4700.0
SANTIAGO,PUNTA ARENAS,10,10,10,3.0,19000,9500.0,18500,9000.0
SANTIAGO,PUNTA ARENAS,10,10,10,6.0,28000,14500.0,27000,14000.0
SANTIAGO,PUNTA ARENAS,10,10,10,15.0,55000,,54000,33800.0
SANTIAGO,ARICA,10,10,10,0.5,12500,5200.0,12000,4700.0
SANTIAGO,ARICA,10,10,10,3.0,19000,9500.0,18500,9000.0
SANTIAGO,ARICA,10,10,10,6.0,28000,14500.0,27000,14000.0
SANTIAGO,ARICA,10,10,10,15.0,55000,,54000,33800.0
SANTIAGO,COYHAIQUE,10,10,10,0.5,12500,5200.0,12000,4700.0
SANTIAGO,COYHAIQUE,10,10,10,3.0,19000,9500.0,18500,9000.0
SANTIAGO,COYHAIQUE,10,10,10,6.0,28000,14500.0,27000,14000.0
SANTIAGO,COYHAIQUE,10,10,10,15.0,55000,,54000,33800.0
SANTIAGO,IQUIQUE,10,10,10,0.5,12500,5200.0,12000,4700.0
SANTIAGO,IQUIQUE,10,10,10,3.0,19000,9500.0,18500,9000.0
SANTIAGO,IQUIQUE,10,10,10,6.0,28000,14500.0,27000,14000.0
SANTIAGO,IQUIQUE,10,10,10,15.0,55000,,54000,33800.0
