Origen,Destino
SANTIAGO,SANTIAGO
SANTIAGO,CONCEPCION
CONCEPCION,SANTIAGO
VINA DEL MAR,SANTIAGO
SANTIAGO,VALDIVIA
SANTIAGO,VINA DEL MAR
VALDIVIA,SANTIAGO
SANTIAGO,LA SERENA
SANTIAGO,PUERTO MONTT
CONCEPCION,CONCEPCION
LA SERENA,SANTIAGO
SANTIAGO,RANCAGUA
VINA DEL MAR,CONCEPCION
RANCAGUA,SANTIAGO
CONCEPCION,VALDIVIA
CONCEPCION,VINA DEL MAR
VALDIVIA,CONCEPCION
PUERTO MONTT,SANTIAGO
SANTIAGO,COPIAPO
VINA DEL MAR,VALDIVIA
VINA DEL MAR,VINA DEL MAR
VINA DEL MAR,LA SERENA
CONCEPCION,PUERTO MONTT
VALDIVIA,VALDIVIA
SANTIAGO,ANTOFAGASTA
COPIAPO,SANTIAGO
CONCEPCION,RANCAGUA
SANTIAGO,PUNTA ARENAS
SANTIAGO,ARICA
SANTIAGO,COYHAIQUE
SANTIAGO,IQUIQUE
