ORI,DEST,Tamaño,Ruta,%
SANTIAGO,SANTIAGO,XS,INTRA,0.79937749304968
SANTIAGO,SANTIAGO,S,INTRA,0.79937749304968
SANTIAGO,SANTIAGO,M,INTRA,0.79937749304968
SANTIAGO,SANTIAGO,L,INTRA,0.79937749304968
SANTIAGO,CONCEPCION,XS,CERCA,0.147655862898849
SANTIAGO,CONCEPCION,S,CERCA,0.147655862898849
SANTIAGO,CONCEPCION,M,CERCA,0.147655862898849
SANTIAGO,CONCEPCION,L,CERCA,0.147655862898849
CONCEPCION,SANTIAGO,XS,CERCA,0.113750226116228
CONCEPCION,SANTIAGO,S,CERCA,0.113750226116228
CONCEPCION,SANTIAGO,M,CERCA,0.113750226116228
CONCEPCION,SANTIAGO,L,CERCA,0.113750226116228
VIÑA DEL MAR,SANTIAGO,XS,CERCA,0.0888892384405452
VIÑA DEL MAR,SANTIAGO,S,CERCA,0.0888892384405452
VIÑA DEL MAR,SANTIAGO,M,CERCA,0.0888892384405452
VIÑA DEL MAR,SANTIAGO,L,CERCA,0.0888892384405452
SANTIAGO,VALDIVIA,XS,CERCA,0.0882757752837267
SANTIAGO,VALDIVIA,S,CERCA,0.0882757752837267
SANTIAGO,VALDIVIA,M,CERCA,0.0882757752837267
SANTIAGO,VALDIVIA,L,CERCA,0.0882757752837267
SANTIAGO,VIÑA DEL MAR,XS,CERCA,0.0846264559918834
SANTIAGO,VIÑA DEL MAR,S,CERCA,0.0846264559918834
SANTIAGO,VIÑA DEL MAR,M,CERCA,0.0846264559918834
SANTIAGO,VIÑA DEL MAR,L,CERCA,0.0846264559918834
VALDIVIA,SANTIAGO,XS,CERCA,0.0574610490219982
VALDIVIA,SANTIAGO,S,CERCA,0.0574610490219982
VALDIVIA,SANTIAGO,M,CERCA,0.0574610490219982
VALDIVIA,SANTIAGO,L,CERCA,0.0574610490219982
SANTIAGO,LA SERENA,XS,CERCA,0.0557307683232794
SANTIAGO,LA SERENA,S,CERCA,0.0557307683232794
SANTIAGO,LA SERENA,M,CERCA,0.0557307683232794
SANTIAGO,LA SERENA,L,CERCA,0.0557307683232794
SANTIAGO,PUERTO MONTT,XS,CERCA,0.0423132279959417
SANTIAGO,PUERTO MONTT,S,CERCA,0.0423132279959417
SANTIAGO,PUERTO MONTT,M,CERCA,0.0423132279959417
SANTIAGO,PUERTO MONTT,L,CERCA,0.0423132279959417
CONCEPCION,CONCEPCION,XS,INTRA,0.149008823884927
CONCEPCION,CONCEPCION,S,INTRA,0.149008823884927
CONCEPCION,CONCEPCION,M,INTRA,0.149008823884927
CONCEPCION,CONCEPCION,L,INTRA,0.149008823884927
LA SERENA,SANTIAGO,XS,CERCA,0.0381369595822159
LA SERENA,SANTIAGO,S,CERCA,0.0381369595822159
LA SERENA,SANTIAGO,M,CERCA,0.0381369595822159
LA SERENA,SANTIAGO,L,CERCA,0.0381369595822159
SANTIAGO,RANCAGUA,XS,CERCA,0.0352112122189277
SANTIAGO,RANCAGUA,S,CERCA,0.0352112122189277
SANTIAGO,RANCAGUA,M,CERCA,0.0352112122189277
SANTIAGO,RANCAGUA,L,CERCA,0.0352112122189277
